root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
9655,15,True,14,0,1,12,1,0,11,3,2,1,1,2,d2:1;d3:1
9657,12,True,11,0,3,4,1,0,3,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
9659,30,True,29,0,4,5,12,0,21,6,3,2,1,3,d2:1;d4:1;d5:1
9661,19,True,18,0,3,2,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
9663,28,True,27,0,8,10,10,0,3,7,4,2,2,3,d2:1;d3:1;d5:1;d7:1
9665,18,True,17,0,1,15,1,0,14,3,2,1,1,2,d2:1;d3:1
9667,14,True,13,0,2,3,2,0,1,5,3,1,2,2,d1:1;d3:1;d4:1
9669,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
9671,18,True,17,0,1,15,1,0,14,3,2,1,1,2,d2:1;d3:1
9673,12,True,11,0,2,4,1,0,3,5,3,1,2,2,d1:1;d2:1;d4:1
9675,16,True,15,0,1,13,1,0,12,3,2,1,1,2,d2:1;d3:1
9677,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9679,28,True,27,0,5,24,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9681,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9683,21,True,20,0,3,2,5,0,4,4,2,1,1,2,d1:1;d3:1
9685,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
9687,26,True,25,0,4,21,12,0,17,6,3,2,1,3,d2:1;d4:1;d5:1
9689,13,True,12,0,5,4,2,0,2,9,6,1,5,2,d1:1;d3:1;d4:1;d6:1;d8:1;d9:1
9691,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9693,14,True,13,0,4,5,2,0,3,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9695,27,True,26,0,4,2,12,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
9697,22,True,21,0,4,9,3,0,11,3,2,1,1,2,d1:1;d3:1
9699,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
9701,30,True,29,0,7,16,14,0,4,6,3,1,2,2,d1:1;d3:1;d5:1
