n,steps,r_start,depth_len,selected_depths,selected_count,selected_depths_are_prefix,selected_depths_are_consecutive,frontier_depth,max_selected_depth,missing_selected_depths,min_selected_margin,max_unselected_margin,margin_profile
9631,128,2,10,,0,True,True,2,0,,0,0,2:-9;3:-5;4:-1;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9633,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9635,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-1;4:-2;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9637,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:-1;4:-3;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9639,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-3;4:-3;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9641,128,2,10,3;4,2,False,True,5,4,2,1,0,2:0;3:1;4:1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9643,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:-1;4:-3;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9645,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-4;4:-2;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9647,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-1;4:-2;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9649,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:2;3:2;4:1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9651,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:1;3:2;4:1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9653,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9655,128,2,10,2;4;5,3,False,False,6,5,3,1,0,2:1;3:-1;4:1;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
9657,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:1;3:2;4:1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9659,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-2;4:-3;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9661,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-3;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9663,128,2,10,2;3;4;5,4,True,True,6,5,,3,0,2:15;3:11;4:7;5:3;6:-2;7:-1;8:-1;9:0;10:0;11:0
9665,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9667,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-1;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9669,128,2,10,,0,True,True,2,0,,0,0,2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9671,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9673,128,2,10,2,1,True,True,3,2,,1,0,2:1;3:0;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9675,128,2,10,,0,True,True,2,0,,0,0,2:-6;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9677,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:3;3:3;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
9679,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:-2;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9681,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:2;3:3;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
9683,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-2;4:-2;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9685,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9687,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:-3;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
