root,blocks_audited,reached_state_one_endpoint,maximum_queue,terminal_block,witness_start_block,witness_block_count,witness_length,witness_claim_holes,witness_terminal_valuation,witness_absorption_deficit
10725,8,True,1,1,1,1,2,0,1,1
10727,19,True,2,6,6,1,5,2,1,2
10729,7,True,2,1,1,1,4,1,1,2
10731,7,True,0,-1,-1,0,0,0,0,0
10733,14,True,2,5,5,1,4,1,1,2
10735,15,True,2,1,0,2,7,3,2,2
10737,13,True,1,4,4,1,6,3,2,1
10739,13,True,2,4,4,1,4,1,1,2
10741,17,True,4,6,6,1,8,3,1,4
10743,24,True,3,7,6,2,8,3,2,3
10745,12,True,1,1,1,1,2,0,1,1
10747,18,True,4,7,7,1,8,3,1,4
10749,17,True,4,6,6,1,8,3,1,4
10751,30,True,4,0,0,1,9,4,1,4
10753,15,True,1,6,6,1,3,1,1,1
10755,13,True,1,4,4,1,5,2,2,1
10757,15,True,1,3,3,1,4,2,1,1
10759,36,True,7,10,8,3,18,7,4,7
10761,13,True,1,1,1,1,3,1,1,1
10763,15,True,1,3,3,1,3,1,1,1
10765,20,True,3,11,6,6,19,8,8,3
10767,13,True,1,1,1,1,4,1,2,1
10769,20,True,3,11,6,6,19,8,8,3
10771,29,True,3,20,15,6,19,8,8,3
10773,14,True,1,10,10,1,3,1,1,1
10775,24,True,3,3,3,1,8,3,2,3
10777,24,True,3,3,3,1,8,3,2,3
10779,23,True,3,4,2,3,10,4,3,3
10781,6,True,1,1,1,1,2,0,1,1
10783,24,True,3,15,10,6,19,8,8,3
10785,6,True,0,-1,-1,0,0,0,0,0
10787,14,True,1,10,10,1,3,1,1,1
10789,30,True,5,21,13,9,27,11,11,5
10791,31,True,5,22,14,9,27,11,11,5
10793,21,True,5,8,5,4,14,5,4,5
10795,14,True,1,10,10,1,3,1,1,1
10797,15,True,1,11,11,1,3,1,1,1
10799,29,True,5,20,12,9,27,11,11,5
10801,29,True,5,20,12,9,27,11,11,5
10803,29,True,5,20,12,9,27,11,11,5
10805,18,True,3,9,4,6,19,8,8,3
10807,13,True,2,1,1,1,5,2,1,2
10809,16,True,1,1,1,1,2,0,1,1
10811,13,True,1,9,9,1,3,1,1,1
10813,27,True,5,18,10,9,27,11,11,5
10815,11,True,1,7,7,1,3,1,1,1
10817,21,True,3,12,7,6,19,8,8,3
10819,19,True,3,10,5,6,19,8,8,3
10821,10,True,0,-1,-1,0,0,0,0,0
10823,13,True,1,0,0,1,3,1,1,1
10825,14,True,1,3,3,1,3,1,1,1
10827,9,True,0,-1,-1,0,0,0,0,0
10829,10,True,0,-1,-1,0,0,0,0,0
10831,9,True,0,-1,-1,0,0,0,0,0
10833,13,True,1,2,2,1,3,1,1,1
10835,12,True,1,8,8,1,3,1,1,1
10837,10,True,4,1,1,1,7,2,1,4
10839,9,True,0,-1,-1,0,0,0,0,0
10841,21,True,4,4,2,3,12,5,3,4
10843,28,True,5,19,11,9,27,11,11,5
10845,18,True,3,9,4,6,19,8,8,3
10847,13,True,1,2,2,1,2,0,1,1
10849,27,True,5,18,10,9,27,11,11,5
10851,27,True,4,18,10,9,26,11,11,4
10853,28,True,4,19,11,9,26,11,11,4
10855,33,True,4,22,22,1,8,3,1,4
10857,26,True,5,17,9,9,27,11,11,5
10859,10,True,0,-1,-1,0,0,0,0,0
10861,15,True,1,2,2,1,4,2,1,1
10863,16,True,3,4,4,1,6,2,1,3
10865,11,True,3,2,2,1,6,2,1,3
10867,29,True,4,20,12,9,26,11,11,4
10869,16,True,1,1,1,1,2,0,1,1
10871,18,True,3,9,4,6,19,8,8,3
10873,25,True,2,3,3,1,5,2,1,2
10875,20,True,3,11,6,6,19,8,8,3
